"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","gene_biotype","log2_RE_FC","Z_score"
"1","ENSG00000262526",14.475667854703,-13.5512905932909,5.72669902335275,4.34621854479353,0.0370912157093841,0.374873142470484,NA,"protein_coding",3.42992462104574,0.980257003988799
"2","ENSG00000257122",30.8857178262925,6.81078386450342,1.32078638400466,37.8525177767964,7.62998482732791e-10,2.68100711310464e-06,"RRN3P3","transcribed_unprocessed_pseudogene",0.571853688019153,0.500658351564385
"3","ENSG00000287100",14.7004446725115,6.38873767941658,1.67561226966447,15.110208505595,0.000101413394408169,0.0179167440489606,NA,"lncRNA",-0.668171274853725,-0.882265651546922
"4","ENSG00000107738",11.6096498888035,-6.34829013037357,1.54407008254222,15.7969081003308,7.05176512650014e-05,0.0143874206684155,"VSIR","protein_coding",-3.95270140978554,-3.1580306818673
"5","ENSG00000168140",103.465639671352,-5.996122563793,2.68100318970316,4.56622084111905,0.0326084249576641,0.358886847058981,"VASN","protein_coding",-4.07106627903932,-0.5423820328548
"6","ENSG00000100101",384.036599248408,-5.96996145730635,3.14124270386534,3.7831455156805,0.0517712497247811,0.431299789593381,NA,"protein_coding",1.15935793452968,0.389635825270473
"7","ENSG00000073734",59.6156563304512,-5.329029673883,0.751642956934233,49.530085658388,1.95352812054728e-12,2.05927910947291e-08,"ABCB11","protein_coding",-4.84415830994253,-1.05269743327783
"8","ENSG00000114698",20.676537640069,-5.22040403219284,1.95829455908273,7.15209259422615,0.00748765729460111,0.188283178398043,"PLSCR4","protein_coding",-2.64719948489274,-1.59110747492631
"9","ENSG00000159289",14.4839018246118,5.20744171573784,1.71729419569587,8.56235486642997,0.00343185226351723,0.131088057698262,"GOLGA6A","protein_coding",4.59855307481942,0.713563027583057
"10","ENSG00000066056",14.2518792835874,5.20549144024286,2.01551803549489,6.86219681182644,0.00880382467768808,0.205318695875522,"TIE1","protein_coding",0.684918322045128,0.282544748599174
"11","ENSG00000141161",11.3805671418328,5.10354659155656,1.49831840763292,14.494671559449,0.000140556560242538,0.0222869073790608,"UNC45B","protein_coding",6.32324146667934,1.57583702535986
"12","ENSG00000288564",18.8504779059036,-4.70681729667924,1.8512621684501,6.79275827203008,0.00915283815732319,0.20816049185486,NA,"protein_coding",1.54905910817862,0.806366845655641
"13","ENSG00000196666",33.8455229738523,4.70204256173544,1.65931722230357,8.47864365962576,0.00359339918740206,0.132974134649291,"FAM180B","protein_coding",0.0838712262321991,0.0529245711064231
"14","ENSG00000287458",12.0421104019382,4.65168225383295,1.60720255639179,8.86663466243751,0.00290430059738008,0.121948759579964,NA,"lncRNA",-2.37571549607329,-0.730579555269249
"15","ENSG00000173699",15.6156979669081,4.64607801750066,1.53369394862554,9.79413188820693,0.00175069639478522,0.0907852977637984,"SPATA3","protein_coding",-2.67694177372975,-0.486898561948402
"16","ENSG00000187762",15.7849188295226,4.5490664354737,1.58798972978317,8.56107285001166,0.00343426978735815,0.131088057698262,"HSPE1P11","processed_pseudogene",0.0570219034770051,0.0192641988637107
"17","ENSG00000288582",21.2001821553693,4.49022462861831,3.05830501165971,2.00090639648657,0.157205176019019,0.647494684235019,NA,"lncRNA",-0.245931530009474,-0.162094731221675
"18","ENSG00000287526",9.30425616408379,4.46186656332159,1.3966459523942,11.3714028016423,0.000745835275789863,0.0571096725461953,NA,"lncRNA",-0.030729041078825,-0.0130427560779587
"19","ENSG00000182676",13.5678207453344,4.41640459503708,1.6169180021138,7.74840879691419,0.00537598878139369,0.161755103847007,"PPP1R27","protein_coding",4.56081410024582,0.855861222624021
"20","ENSG00000060566",7.43642312446295,-4.32650654278868,1.41897800313432,10.9209045956691,0.000950851686621275,0.0648151751157512,"CREB3L3","protein_coding",-3.58574015320092,-1.72202666698637
"21","ENSG00000185040",25.04405055241,4.3176654060175,1.68294280186781,7.20510177322515,0.00726966267590703,0.186512625400622,"SPDYE16","protein_coding",-1.52626291175123,-0.992992849977639
"22","ENSG00000143119",14.4063805987024,4.24909150149979,1.83720648449644,5.77627286887093,0.0162439513993398,0.264369031555225,"CD53","protein_coding",4.46166548423669,0.942822087678473
"23","ENSG00000165383",10.8188006206839,4.222183412508,1.88955392026395,5.09541598928995,0.0239891597224641,0.311628609198352,"LRRC18","protein_coding",2.99578984780492,0.587553727577826
"24","ENSG00000185561",57.2982143974214,-4.20865176344476,1.78036589222986,5.19408739161651,0.0226638521469022,0.304279670361331,"TLCD2","protein_coding",0.190207687524154,0.095761363893652
"25","ENSG00000239280",24.7896580778313,4.16932357373376,1.35691430601443,10.5542304393025,0.00115922465952832,0.0733164554112963,"DBTP1","processed_pseudogene",0.414015669793496,0.238084984444455
"26","ENSG00000106034",45.1077034766612,-4.15975086293068,0.783879509655707,29.0421670576325,7.08198699341746e-08,0.000101800343945379,"CPED1","protein_coding",-4.46646197274017,-1.33638689454703
"27","ENSG00000161281",48.5991964557931,4.1354421249734,2.044393092399,3.94251575344258,0.0470803199522715,0.415884926863305,"COX7A1","protein_coding",5.23743764084801,0.643866500392397
"28","ENSG00000121380",26.0283234891746,4.11897505401195,1.43241550635665,10.1741504606964,0.00142423305972983,0.0808616629818604,"BCL2L14","protein_coding",4.54127726193831,0.997817908825507
"29","ENSG00000104413",10.2760235054524,-4.05698207173581,1.28837301639235,10.0208058608987,0.0015478173132534,0.0846566253778579,"ESRP1","protein_coding",-4.13062601030494,-1.14578462343109
"30","ENSG00000259030",55.77160335338,4.02029437996264,3.25674147858202,1.87143152985871,0.171311214647829,0.666282849836789,"FPGT-TNNI3K","protein_coding",2.72826351304858,2.28235219239741
"31","ENSG00000260660",14.3038602346593,4.00120937549086,1.27291546397772,10.3429284717382,0.00129971645270588,0.0777076859611411,NA,"transcribed_unitary_pseudogene",3.04860749598922,1.94626841855878
"32","ENSG00000206172",24.9541594351341,3.93096410292894,1.75804822718358,4.8635065713284,0.0274305302189685,0.331265551581275,"HBA1","protein_coding",0.911107044229234,0.503421228080775
"33","ENSG00000196811",60.6572208258539,3.87328660792446,1.50364398907817,7.15954201720935,0.00745662331791775,0.188044861089179,"CHRNG","protein_coding",0.855586262989539,0.392197397692808
