"","gene_id","log2_RE_FC","Z_score","gene_name","gene_biotype"
"1","ENSG00000253704",3.34901319374119,12.4179197131858,"VIRMA-DT","lncRNA"
"2","ENSG00000167114",2.00537539026762,6.47484113327401,"SLC27A4","protein_coding"
"3","ENSG00000253706",-1.40191571311908,5.02959587462461,NA,"lncRNA"
"4","ENSG00000120337",2.21788521988383,4.6137299490051,"TNFSF18","protein_coding"
"5","ENSG00000115266",1.38210162641488,3.29685735499471,"APC2","protein_coding"
"6","ENSG00000147536",2.34961948882097,3.08785434615692,"GINS4","protein_coding"
"7","ENSG00000156050",1.45817050763052,2.94796845793491,"FAM161B","protein_coding"
"8","ENSG00000157554",1.67368587647658,2.90197659465826,"ERG","protein_coding"
"9","ENSG00000131100",0.861078899364208,2.71566481336989,"ATP6V1E1","protein_coding"
"10","ENSG00000082556",1.5291757068095,2.35887089417537,"OPRK1","protein_coding"
"11","ENSG00000105894",0.458564619402132,-2.0042710953557,"PTN","protein_coding"
"12","ENSG00000145242",-0.245307762196908,-2.00485635232461,"EPHA5","protein_coding"
"13","ENSG00000138018",0.435726244184089,-2.0055431293124,"SELENOI","protein_coding"
"14","ENSG00000028528",-0.420184336478026,-2.0061818368204,"SNX1","protein_coding"
"15","ENSG00000164749",0.445465596006634,-2.00934206777415,"HNF4G","protein_coding"
"16","ENSG00000102858",-0.782446646242541,-2.00986595611999,"MGRN1","protein_coding"
"17","ENSG00000009830",0.274631431239376,-2.01101778393362,"POMT2","protein_coding"
"18","ENSG00000122432",0.490943533618398,-2.01261052850875,"SPATA1","protein_coding"
"19","ENSG00000108582",-0.371524001128562,-2.01316489938977,"CPD","protein_coding"
"20","ENSG00000071967",-0.530542583251902,-2.01437489597437,"CYBRD1","protein_coding"
"21","ENSG00000102057",-0.371013248932543,-2.01467519240677,"KCND1","protein_coding"
"22","ENSG00000089050",-0.290316834527339,-2.01524054730161,"RBBP9","protein_coding"
"23","ENSG00000081148",-0.616865084544574,-2.01551115697108,"IMPG2","protein_coding"
"24","ENSG00000133065",-0.202612398924295,-2.01687761980674,"SLC41A1","protein_coding"
"25","ENSG00000162998",-1.48864147986954,-2.02002411728648,"FRZB","protein_coding"
"26","ENSG00000101938",0.259802241465152,-2.02134964791085,"CHRDL1","protein_coding"
"27","ENSG00000116191",-0.791666655113469,-2.02153125185908,"RALGPS2","protein_coding"
"28","ENSG00000070444",-0.441185288011827,-2.02237913655488,"MNT","protein_coding"
"29","ENSG00000090530",-0.763430339666826,-2.02276923639607,"P3H2","protein_coding"
"30","ENSG00000120915",-0.844771134589116,-2.02330529172427,"EPHX2","protein_coding"
"31","ENSG00000161509",0.278531315813608,-2.02350327052044,"GRIN2C","protein_coding"
"32","ENSG00000165509",0.727371409889416,-2.02385829530875,"MAGEC3","protein_coding"
"33","ENSG00000103226",-0.297610336893995,-2.0241524636344,"NOMO3","protein_coding"
"34","ENSG00000161594",0.611879178492832,-2.0246306819976,"KLHL10","protein_coding"
"35","ENSG00000072682",-0.412415784784364,-2.02699856149025,"P4HA2","protein_coding"
"36","ENSG00000197467",-0.593815608755173,-2.03013620021286,"COL13A1","protein_coding"
"37","ENSG00000159399",-0.223130361881949,-2.03025676783693,"HK2","protein_coding"
"38","ENSG00000139131",0.213232703045199,-2.03074998872797,"YARS2","protein_coding"
"39","ENSG00000122741",0.294838283219057,-2.03175169066226,"DCAF10","protein_coding"
"40","ENSG00000103653",0.32596860310875,-2.03335808289962,"CSK","protein_coding"
"41","ENSG00000161533",0.36967150962005,-2.03521265189752,"ACOX1","protein_coding"
"42","ENSG00000153250",-0.320483133267305,-2.03668502049148,"RBMS1","protein_coding"
"43","ENSG00000196604",-0.299606504940914,-2.04312432028607,"POTEF","protein_coding"
"44","ENSG00000159733",0.540778458093153,-2.04483448787941,"ZFYVE28","protein_coding"
"45","ENSG00000107949",-0.258932759530199,-2.04827337475178,"BCCIP","protein_coding"
"46","ENSG00000143147",0.695687676564,-2.0489222641407,"GPR161","protein_coding"
"47","ENSG00000014123",-0.273191925319095,-2.05427120133283,"UFL1","protein_coding"
"48","ENSG00000164125",0.243539977699652,-2.05631535261549,"GASK1B","protein_coding"
"49","ENSG00000162804",0.260594272429984,-2.05712878297343,"SNED1","protein_coding"
"50","ENSG00000158258",1.25956336500326,-2.05740321564181,"CLSTN2","protein_coding"
"51","ENSG00000132010",-0.2673782286261,-2.06005322659429,"ZNF20","protein_coding"
"52","ENSG00000132436",-0.733153700143323,-2.06091366090195,"FIGNL1","protein_coding"
"53","ENSG00000170153",-0.285365539698209,-2.06112970377837,"RNF150","protein_coding"
"54","ENSG00000115053",-0.594495825555282,-2.06235559278404,"NCL","protein_coding"
"55","ENSG00000006071",-0.489845942117654,-2.06290573421982,"ABCC8","protein_coding"
"56","ENSG00000030582",0.259755169264909,-2.06426717047423,"GRN","protein_coding"
"57","ENSG00000020129",-0.766017909839053,-2.06727508446419,"NCDN","protein_coding"
"58","ENSG00000279852",1.25408365595939,-2.0677490187403,NA,"TEC"
"59","ENSG00000084070",-0.300370512897543,-2.06916202457556,"SMAP2","protein_coding"
"60","ENSG00000126756",0.207147610693212,-2.06933197754857,"UXT","protein_coding"
"61","ENSG00000032742",-0.477684451938203,-2.06977029597848,"IFT88","protein_coding"
"62","ENSG00000100416",0.229222241843213,-2.07070339388307,"TRMU","protein_coding"
"63","ENSG00000138722",-0.715850364897082,-2.07217028317969,"MMRN1","protein_coding"
"64","ENSG00000164684",-0.312060943683035,-2.0724408242641,"ZNF704","protein_coding"
"65","ENSG00000137776",-0.265453347198556,-2.07253370611438,"SLTM","protein_coding"
"66","ENSG00000070785",-0.481832774212915,-2.07272851927774,"EIF2B3","protein_coding"
"67","ENSG00000084731",-0.448117355284893,-2.07295700791581,"KIF3C","protein_coding"
"68","ENSG00000018408",-0.708879529986792,-2.07561940619515,"WWTR1","protein_coding"
"69","ENSG00000129317",-0.757973582136828,-2.07768497858106,"PUS7L","protein_coding"
"70","ENSG00000100271",-0.238515156379269,-2.07996335655873,"TTLL1","protein_coding"
"71","ENSG00000128534",-0.463532995493253,-2.0800959294733,"LSM8","protein_coding"
"72","ENSG00000079691",-0.677805642979824,-2.08174255451314,"CARMIL1","protein_coding"
"73","ENSG00000110721",-0.226196809356213,-2.08179915413007,"CHKA","protein_coding"
"74","ENSG00000162688",0.516426121884139,-2.08426856007233,"AGL","protein_coding"
"75","ENSG00000064115",0.205353928901593,-2.08801333315172,"TM7SF3","protein_coding"
"76","ENSG00000151694",0.52637512105774,-2.08844403285959,"ADAM17","protein_coding"
"77","ENSG00000148219",-0.226970687450545,-2.09178672186256,"ASTN2","protein_coding"
